Node,word,frequency_word,shortest_path,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
30,notation,30,"[626, 615, 373, 30]",0.09913793103448276,0.0990888547376824,0.3613707165109034,0.004529098316744522,0.42903221428570726,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
358,complexity,30,"[626, 615, 373, 465, 358]",0.09590517241379311,0.0786856769882389,0.3543337151584574,0.004750804585312791,0.3531097883868847,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
579,computational,28,"[626, 615, 646, 579]",0.07974137931034482,0.06964230697061109,0.3504531722054381,0.0060420613415844955,0.34019951789968356,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
783,complex,24,"[626, 615, 373, 539, 783]",0.05818965517241379,0.04514286168824362,0.34626865671641793,0.007943484311292824,0.26084522215413225,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
302,zeta,14,"[626, 615, 646, 579, 302]",0.034482758620689655,0.022956370470030782,0.3286118980169972,0.010766507194484208,0.23575761614455035,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
261,imaginary,21,"[626, 615, 373, 30, 261]",0.061422413793103446,0.04525794192414685,0.3515151515151515,0.008449874884000287,0.2233887797384836,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
179,z,12,"[626, 615, 373, 539, 179]",0.02478448275862069,0.011553244168272024,0.3161839863713799,0.014130070027036454,0.2219298126800886,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
539,real,18,"[626, 615, 373, 539]",0.04956896551724138,0.02266128001044628,0.32607167955024596,0.009984571957695023,0.21003817740769215,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
122,asymptotic,11,"[626, 615, 170, 527, 122]",0.03125,0.028204741782248542,0.3302491103202847,0.010675371684598658,0.16616393356840764,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
251,number,9,"[626, 615, 373, 458, 251]",0.05711206896551724,0.03820089806432358,0.33060206626291416,0.00629542155440812,0.16425392558104393,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
388,domain,3,"[626, 615, 373, 30, 388]",0.023706896551724137,0.0022851655749892025,0.30556470200856106,0.025924156412579853,0.1504786389527233,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
536,time,13,"[626, 615, 373, 30, 536]",0.05172413793103448,0.07550482871435198,0.3487410747839158,0.0053419676102703885,0.113673644913569,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
711,generalize,1,"[626, 615, 373, 539, 711]",0.02586206896551724,0.016399139456870403,0.3252716438836313,0.01226244661097978,0.11169775060940829,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
527,big,11,"[626, 615, 170, 527]",0.0334051724137931,0.019666321127111974,0.31214261688530104,0.0065924489289156995,0.09905763094191808,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
569,asymptotes,12,"[626, 615, 170, 527, 661, 569]",0.016163793103448277,0.003925907987999489,0.3022801302931596,0.016712406245101362,0.09584231400201106,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
