word,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
notation,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
complexity,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
computational,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
complex,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
zeta,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
imaginary,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
z,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
real,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
asymptotic,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
number,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
domain,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
time,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
generalize,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
big,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
asymptotes,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
plane,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
would,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
account,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
take,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
part,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
tn,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
p,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
lnn,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
use,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
case,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
relate,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
represent,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
znotation,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
